Date_Key,Product_Key,Geography_Key,Sales_Fact,Sales_Plan,Ad_Spend,Impressions,Conversion_Rate,Net_Profit_Raw
20200609,1,110,1094.38,1935.67,92.03,59808.0,0.0211,321.19
20200610,4,116,1976.93,1758.79,296.08,52487.0,0.0121,322.65
20200611,3,110,2164.32,1581.87,165.26,90218.0,0.0107,485.63
20200612,1,107,1176.29,1579.2,91.65,67189.0,0.0155,251.63
20200613,5,112,2069.89,1851.52,296.13,94212.0,0.0207,452.58
20200614,1,113,1796.13,1832.39,94.23,60439.0,0.0319,600.18
20200615,2,104,2002.28,2030.69,239.61,92163.0,0.0066,537.67
20200616,4,114,2541.12,1882.09,311.37,77451.0,0.0168,542.64
20200617,2,107,1471.48,1452.97,196.65,40431.0,0.0214,183.17
20200618,2,109,1218.72,1965.53,179.69,72941.0,0.005,268.0
20200619,5,115,1152.21,1557.05,170.02,56211.0,0.0117,246.49
20200620,4,109,1190.41,1681.36,67.29,52393.0,0.0132,390.86
20200621,1,120,1561.09,1809.64,206.35,48375.0,0.012,276.28
20200622,3,110,1771.5,2160.15,203.07,30491.0,0.0219,324.87
20200623,4,118,1740.53,2384.39,199.7,28540.0,0.0184,328.66
20200624,1,113,2017.0,1885.09,126.74,80555.0,0.0144,419.53
20200625,5,109,1611.1,1728.42,185.31,79413.0,0.0243,341.58
20200626,1,117,2332.53,1873.24,345.79,91393.0,0.0372,540.18
20200627,5,108,1474.56,1945.11,208.18,77909.0,0.0364,317.63
20200628,4,111,2968.07,1704.65,278.74,48986.0,0.005,613.57
20200629,2,115,1921.89,2129.0,103.77,60547.0,0.0258,488.23
20200630,3,116,1181.51,1817.11,101.88,30327.0,0.0182,276.62
20200701,3,105,1075.65,1871.75,142.67,37785.0,0.0216,177.4
20200702,5,104,1853.3,1906.45,222.67,33836.0,0.016,341.46
20200703,4,110,1501.27,1858.62,144.02,86977.0,0.0212,258.02
20200704,5,119,1970.91,1943.09,109.41,49364.0,0.0215,505.71
20200705,3,116,1851.4,1652.81,171.61,104611.0,0.0142,352.72
20200706,4,102,1579.21,1665.53,153.03,53954.0,0.011,419.74
20200707,5,105,1193.04,1558.05,170.43,70805.0,0.0155,185.42
20200708,1,116,859.8,1866.84,98.11,34334.0,0.0223,129.45
20200709,2,108,1394.71,1935.56,113.2,79342.0,0.026,363.99
20200710,1,116,2046.89,1872.11,209.87,31196.0,0.0285,369.67
20200711,5,110,1726.42,2116.21,97.72,84026.0,0.0151,405.15
20200712,3,108,997.16,1780.91,146.84,55479.0,0.0228,243.12
20200713,4,105,1707.24,1916.47,146.83,36343.0,0.0296,387.15
20200714,3,102,1813.9,1565.03,177.38,35055.0,0.0317,512.76
20200715,4,108,1179.88,1706.57,100.91,40241.0,0.0194,199.84
20200716,1,101,1699.2,1923.68,200.93,96881.0,0.0178,271.94
20200717,4,113,1651.94,1954.94,191.99,65099.0,0.0219,441.6
20200718,4,102,1051.82,1726.84,127.83,40743.0,0.0085,273.69
20200719,4,112,1802.63,1771.79,138.47,38487.0,0.0181,421.84
20200720,3,113,1904.54,1482.98,155.35,28636.0,0.0274,507.94
20200721,1,110,2166.04,1715.56,135.43,111456.0,0.0264,719.64
20200722,3,109,2151.76,1965.42,248.64,40756.0,0.0173,437.24
20200723,4,109,936.34,1902.73,50.54,40753.0,0.0222,269.52
20200724,3,101,1156.54,1888.14,126.95,64949.0,0.0118,318.13
20200725,2,109,1883.23,1798.24,257.95,45931.0,0.027,268.81
20200726,1,113,1882.82,1789.94,261.87,84609.0,0.0192,232.82
20200727,5,108,1883.65,1656.67,178.77,34926.0,0.0172,360.92
20200728,3,113,3552.65,1928.68,340.81,149812.0,0.0164,641.98
20200729,2,109,1911.86,1873.25,110.31,42782.0,0.0194,592.35
20200730,4,118,2194.3,1887.57,256.9,105585.0,0.0155,534.07
20200731,4,106,2103.59,1684.04,277.94,60069.0,0.0266,497.7
20200801,5,115,1952.33,1358.63,145.38,69996.0,0.016,411.5
20200802,2,109,1469.01,2008.74,135.34,61661.0,0.0359,243.39
20200803,4,111,2006.11,1693.52,268.59,45553.0,0.0347,318.15
20200804,1,114,1240.17,1616.69,170.79,59992.0,0.0111,161.3
20200805,3,101,1508.1,1927.85,112.08,43160.0,0.0207,346.68
20200806,3,114,1383.72,1710.64,145.37,62000.0,0.0135,327.66
20200807,5,104,1667.21,2000.89,115.45,36883.0,0.0167,444.96
20200808,4,118,2783.44,1912.12,167.53,127942.0,0.04,914.4
20200809,1,110,692.29,1925.23,97.69,14378.0,0.0169,175.96
20200810,4,101,1968.83,1515.08,259.99,67218.0,0.0236,322.15
20200811,1,106,819.1,2030.39,103.21,21398.0,0.0254,170.56
20200812,4,106,1389.22,1839.95,76.24,67623.0,0.01,364.38
20200813,5,106,2169.36,1713.51,291.5,58121.0,0.0114,394.78
20200814,3,115,1656.69,1815.68,155.4,90583.0,0.0079,438.35
20200815,2,115,1085.32,1431.37,91.43,59836.0,0.0111,265.22
20200816,4,117,1266.16,1867.92,132.5,30185.0,0.005,284.56
20200817,4,112,1963.2,1579.86,116.09,83678.0,0.0254,554.81
20200818,4,109,1257.78,1514.72,158.06,23832.0,0.0405,190.22
20200819,1,115,1730.73,1480.27,187.34,56455.0,0.0215,387.83
20200820,2,102,1644.79,2006.74,112.93,77469.0,0.0058,396.06
20200821,1,118,1295.69,1657.78,89.17,57884.0,0.0136,255.06
20200822,4,113,2692.92,2089.78,184.26,116096.0,0.0154,543.0
20200823,4,104,1937.33,1675.25,107.91,53692.0,0.0098,408.27
20200824,4,110,607.21,1440.29,66.05,19437.0,0.0286,152.24
20200825,2,104,1712.39,1557.77,229.52,33619.0,0.0281,446.45
20200826,1,112,1287.62,2027.53,66.63,60977.0,0.0084,397.99
20200827,2,108,2044.06,1748.45,112.22,77010.0,0.0273,619.95
20200828,3,110,1220.89,1669.2,130.97,57253.0,0.0353,190.85
20200829,4,103,1559.06,1810.07,205.72,40851.0,0.039,266.07
20200830,4,110,1868.18,1877.61,154.45,55298.0,0.0487,569.93
20200831,2,115,2047.79,1999.88,173.98,61515.0,0.011,603.55
20200901,2,119,1013.97,2065.23,111.17,16384.0,0.0482,270.74
20200902,1,109,1446.06,1702.68,111.96,43884.0,0.0165,329.72
20200903,4,114,1374.99,1508.5,72.41,70329.0,0.0141,325.91
20200904,4,112,1284.94,1690.07,158.72,71158.0,0.0233,189.57
20200905,4,112,2493.45,1823.85,280.68,95549.0,0.0142,364.89
20200906,4,103,1812.3,1578.04,195.87,64332.0,0.024,474.22
20200907,4,107,978.44,1578.34,121.49,16034.0,0.0068,224.42
20200908,1,112,2066.86,1837.48,242.9,112777.0,0.0176,509.34
20200909,4,117,2668.04,1757.92,188.33,41583.0,0.0329,735.31
20200910,4,111,2122.2,1773.12,180.91,122056.0,0.0194,376.8
20200911,5,108,845.26,1613.74,52.92,31287.0,0.0214,212.27
20200912,3,112,1361.79,1718.22,85.77,41381.0,0.0248,308.16
20200913,5,102,2236.31,1578.29,263.03,126552.0,0.0317,467.09
20200914,1,109,1247.94,1939.99,169.55,20089.0,0.005,324.22
20200915,3,113,1822.58,1967.79,266.59,75025.0,0.0258,444.89
20200916,4,118,1986.87,1390.28,224.19,78883.0,0.0173,410.24
20200917,3,110,1134.95,1572.36,77.64,28226.0,0.0217,253.97
20200918,4,103,1567.5,1457.68,94.94,53765.0,0.0306,481.43
20200919,4,104,-24.55,1625.69,-3.22,-1089.0,0.0081,-3.94
20200920,5,109,1082.7,1737.7,116.8,51667.0,0.0099,184.62
20200921,3,115,1467.4,1463.12,164.1,22058.0,0.005,332.2
20200922,5,102,968.56,1567.32,124.12,55361.0,0.0145,154.86
20200923,1,106,2407.41,1549.53,289.68,53935.0,0.0333,527.38
20200924,1,103,874.87,1790.38,116.75,22319.0,0.0188,144.18
20200925,1,113,1368.63,1761.39,76.13,36756.0,0.0066,314.48
20200926,2,104,1652.73,1601.74,206.18,27604.0,0.0151,209.0
20200927,3,117,2306.68,1780.01,311.6,47373.0,0.0051,491.56
20200928,5,116,866.78,1633.84,68.14,51474.0,0.0087,225.13
20200929,4,109,2164.94,1687.36,246.9,63183.0,0.0239,565.29
20200930,2,110,1587.11,2074.89,129.22,32041.0,0.0083,457.04
20201001,1,104,1089.86,2006.77,158.9,21595.0,0.0311,163.69
20201002,4,118,1810.28,1477.23,96.56,85763.0,0.0193,378.54
20201003,3,104,1677.35,1901.55,181.12,89664.0,0.0209,390.54
20201004,3,102,1276.29,1896.32,85.07,33902.0,0.0172,391.02
20201005,4,110,1609.86,1502.8,195.15,25663.0,0.0277,379.95
20201006,4,112,1380.86,1894.62,93.33,34575.0,0.0278,364.76
20201007,1,105,1628.81,2036.84,119.78,28575.0,0.0234,460.73
20201008,1,117,1901.64,1503.12,189.09,37372.0,0.0256,504.94
20201009,1,101,2362.1,1542.5,334.2,81298.0,0.0179,349.87
20201010,4,109,948.68,1927.88,67.52,24046.0,0.0254,310.84
20201011,4,118,2632.6,1776.99,169.6,100612.0,0.0166,670.5
20201012,5,110,588.51,1831.31,74.09,15541.0,0.02,91.24
20201013,5,113,1487.13,1787.44,148.81,85249.0,0.0173,386.65
20201014,1,120,1855.64,1795.77,261.98,103484.0,0.0154,312.35
20201015,5,117,1700.42,1450.62,109.95,68878.0,0.0131,399.61
20201016,3,109,1247.01,1923.66,142.9,38594.0,0.0247,233.38
20201017,4,102,1452.73,1946.39,106.47,46708.0,0.0331,377.47
20201018,4,115,1308.71,1664.85,85.95,43885.0,0.0317,369.5
20201019,5,116,1258.93,1700.28,148.99,60103.0,0.0074,196.73
20201020,3,113,1976.82,1400.99,216.2,69829.0,0.0329,349.63
20201021,2,105,1728.91,1808.3,216.95,92588.0,0.0168,391.3
20201022,5,106,1202.34,1818.08,97.32,69116.0,0.026,365.04
20201023,1,102,1996.97,1689.45,189.31,60144.0,0.0109,587.97
20201024,4,102,1699.19,1924.96,153.86,68361.0,0.0214,501.79
20201025,4,116,1950.33,1631.47,289.45,37598.0,0.0231,320.16
20201026,4,108,1857.07,1809.4,147.13,44609.0,0.0052,581.31
20201027,4,110,1126.11,1490.74,89.51,37844.0,0.0261,304.02
20201028,1,115,1258.86,1688.14,107.58,30564.0,0.0335,253.74
20201029,4,104,1910.94,1656.15,203.44,104042.0,0.0183,476.56
20201030,4,105,1840.81,1734.25,138.49,40724.0,0.0336,387.07
20201031,1,118,1523.51,1613.45,215.62,54092.0,0.0181,223.43
20201101,1,116,1590.95,1659.22,121.82,67228.0,0.0285,455.9
20201102,1,103,2169.45,1848.88,302.82,100085.0,0.005,327.79
20201103,1,112,1233.15,1594.47,74.42,39754.0,0.0442,280.52
20201104,3,116,1800.8,1358.66,208.27,97440.0,0.035,404.69
20201105,5,110,1424.47,2028.04,200.42,57797.0,0.0172,324.41
20201106,4,101,1415.04,1952.56,94.63,49212.0,0.005,360.74
20201107,4,101,2071.58,1415.96,304.18,37342.0,0.0229,238.14
20201108,5,110,1933.21,1810.49,184.21,69424.0,0.0056,403.6
20201109,3,115,1925.57,1570.1,278.38,100001.0,0.0244,441.9
20201110,2,101,2169.86,1721.53,255.35,92554.0,0.0241,390.37
20201111,4,116,1525.93,1725.82,122.32,80031.0,0.0106,390.27
20201112,2,108,1854.72,1618.23,127.66,69052.0,0.0312,449.66
20201113,5,109,1356.92,1506.5,109.06,27587.0,0.0281,284.3
20201114,3,109,1672.44,1523.29,99.18,26113.0,0.0298,440.61
20201115,4,112,1443.6,1476.3,92.95,41352.0,0.0201,308.23
20201116,5,116,1555.49,1491.32,94.05,72190.0,0.0058,359.65
20201117,2,110,1802.88,1642.4,166.4,91157.0,0.0298,388.42
20201118,2,107,1094.51,1510.84,141.8,30984.0,0.0173,271.25
20201119,4,107,2548.14,1788.55,163.43,95057.0,0.0061,536.31
20201120,2,119,997.26,1947.75,62.86,33857.0,0.0335,196.04
20201121,4,113,891.51,1532.45,101.94,29842.0,0.041,236.35
20201122,4,113,2075.99,1694.51,144.73,52752.0,0.0196,533.63
20201123,3,118,1891.11,1744.74,113.01,39972.0,0.0416,570.0
20201124,4,101,1805.68,1737.38,120.41,43067.0,0.0209,397.5
20201125,3,120,1806.14,1656.36,257.15,31589.0,0.0162,269.8
20201126,3,112,1484.2,1787.89,196.13,35496.0,0.0137,366.18
20201127,4,110,1040.06,1734.0,88.83,16032.0,0.0364,190.37
20201128,3,120,1524.95,1388.22,176.26,65918.0,0.0122,392.32
20201129,5,108,1146.84,1807.8,118.96,33530.0,0.0274,202.63
20201130,4,115,1971.37,1809.64,232.05,115900.0,0.0144,421.37
20201201,3,109,1408.67,1477.76,166.6,33410.0,0.0154,327.5
20201202,1,113,1067.84,1636.24,120.53,32636.0,0.0303,281.26
20201203,1,109,1318.31,1763.56,101.0,41003.0,0.0162,393.18
20201204,4,110,1683.88,1583.29,90.76,25899.0,0.016,415.61
20201205,1,105,1193.98,1838.02,114.09,63000.0,0.0313,264.92
20201206,4,111,1063.16,2094.47,147.88,17478.0,0.036,257.91
20201207,5,101,1594.56,1462.79,170.54,91381.0,0.0264,440.33
20201208,3,102,1593.65,1342.08,212.34,87879.0,0.0135,407.83
20201209,3,113,1216.16,1677.36,181.41,47550.0,0.0149,169.37
20201210,1,113,1232.59,1759.23,81.8,48640.0,0.0208,279.62
20201211,3,106,1582.62,1567.08,188.61,70300.0,0.0232,430.57
20201212,1,107,741.06,1902.26,87.02,24023.0,0.0101,147.12
20201213,1,107,759.88,1342.25,112.46,33530.0,0.0272,181.84
20201214,1,115,1102.91,1746.93,163.85,18766.0,0.0209,127.8
20201215,4,110,1353.95,1485.57,160.67,23602.0,0.005,196.68
20201216,4,106,1614.68,1949.02,120.07,57443.0,0.0107,356.69
20201217,3,103,2195.47,2002.07,285.09,87233.0,0.015,288.09
20201218,2,107,1885.2,1448.67,114.44,103595.0,0.0193,410.18
20201219,4,101,1374.99,1490.54,176.09,27101.0,0.0389,203.02
20201220,4,102,1444.06,1770.84,203.64,75119.0,0.0224,250.58
20201221,4,108,950.93,1519.99,83.95,23252.0,0.0116,252.77
20201222,5,112,1441.58,1586.83,162.99,47188.0,0.0222,366.55
20201223,2,116,1305.16,1599.51,121.4,38172.0,0.0165,336.61
20201224,3,117,1609.52,1209.04,150.94,53125.0,0.0232,341.13
20201225,5,117,1033.23,1588.77,83.73,22496.0,0.0258,302.8
20201226,1,108,1705.23,1452.16,215.22,64220.0,0.0321,400.72
20201227,5,120,2210.65,1490.08,317.49,112907.0,0.0198,411.56
20201228,4,113,1388.64,1876.05,200.07,48421.0,0.0364,306.84
20201229,4,116,1642.63,1334.65,110.84,60905.0,0.0291,401.17
20201230,3,101,1785.63,1747.25,245.48,94986.0,0.0129,221.5
20201231,1,114,1238.74,1527.49,153.29,57939.0,0.0421,203.2
20210101,3,101,1550.21,1526.03,116.71,57467.0,0.0233,348.41
20210102,1,103,1443.3,1738.78,81.88,38386.0,0.0116,369.28
20210103,3,107,1484.69,1647.45,114.02,81393.0,0.0365,371.19
20210104,4,107,1048.23,1692.33,148.03,42942.0,0.0408,241.93
20210105,4,117,1445.88,1770.63,163.84,36077.0,0.0197,220.47
20210106,5,115,1681.54,1509.54,205.33,45587.0,0.015,404.6
20210107,5,104,2157.05,1452.18,163.32,110314.0,0.0183,669.96
20210108,5,120,1910.08,1356.45,232.91,32446.0,0.0271,316.23
20210109,2,109,2506.01,1407.28,132.35,149469.0,0.0328,804.04
20210110,3,118,1044.75,2161.09,91.45,21800.0,0.0257,268.17
20210111,3,108,1863.61,1819.13,209.98,94714.0,0.021,527.56
20210112,4,110,1518.17,1298.93,98.09,49743.0,0.035,477.96
20210113,4,103,2520.47,1303.64,333.46,93635.0,0.0169,609.24
20210114,4,101,1020.52,1663.5,75.01,55750.0,0.0303,324.87
20210115,5,106,1003.92,1675.61,115.68,33713.0,0.0171,187.0
20210116,4,110,1123.23,1675.0,101.67,44016.0,0.0243,206.6
20210117,5,114,360.15,1513.31,39.47,6201.0,0.0189,84.42
20210118,3,118,1158.41,1538.32,70.37,17499.0,0.0194,241.03
20210119,2,106,1040.94,1628.13,53.81,27081.0,0.0162,329.25
20210120,4,117,1494.94,1578.9,210.72,68208.0,0.0334,314.29
20210121,4,112,1589.89,1117.05,122.36,32524.0,0.0127,477.65
20210122,5,116,2356.39,1514.18,310.97,47409.0,0.0126,412.24
